source_order,star_grade,monster_type,monster_family,element,awakened_name,image_url,base_image_url,monster_url,awakening_essences,skill_ups,source_url
1,5,Support,Nina Williams,Light,Nina Williams,https://summonerswarskyarena.info/wp-content/uploads/2025/07/unit_icon_0186_1_1_ninawilliams_l.png,https://summonerswarskyarena.info/wp-content/uploads/2025/07/unit_icon_0186_1_1_ninawilliams_l.png,https://summonerswarskyarena.info/monster/nina-williams-light-nina-williams-review/,,12,https://summonerswarskyarena.info/monster-list/
2,5,Support,Hacker,Light,51LV3R,https://summonerswarskyarena.info/wp-content/uploads/2024/04/unit_icon_0146_1_4_51lv3r.png,https://summonerswarskyarena.info/wp-content/uploads/2024/04/unit_icon_0146_0_4.png,https://summonerswarskyarena.info/monster/51lv3r-light-hacker-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
3,5,Attack,Hacker,Wind,570RM,https://summonerswarskyarena.info/wp-content/uploads/2024/04/unit_icon_0146_1_3_570rm.png,https://summonerswarskyarena.info/wp-content/uploads/2024/04/unit_icon_0146_0_3.png,https://summonerswarskyarena.info/monster/570rm-wind-hacker-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
4,5,Support,Hacker,Fire,7R1X,https://summonerswarskyarena.info/wp-content/uploads/2024/04/unit_icon_0146_1_2_7r1x.png,https://summonerswarskyarena.info/wp-content/uploads/2024/04/unit_icon_0146_0_2.png,https://summonerswarskyarena.info/monster/7r1x-fire-hacker-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
5,5,Support,Totemist,Water,Aaliyah,https://summonerswarskyarena.info/wp-content/uploads/2021/11/unit_icon_0078_1_1.png,https://summonerswarskyarena.info/wp-content/uploads/2021/11/unit_icon_0078_0_1.png,https://summonerswarskyarena.info/monster/aaliyah-water-totemist-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
6,5,Defense,Druid,Water,Abellio,https://summonerswarskyarena.info/wp-content/uploads/2018/09/abellio.png,https://summonerswarskyarena.info/wp-content/uploads/2018/09/water-druid.png,https://summonerswarskyarena.info/monster/abellio-water-druid-review/,20 10 15 5,13,https://summonerswarskyarena.info/monster-list/
7,4,Attack,Cannon Girl,Water,Abigail,https://summonerswarskyarena.info/wp-content/uploads/2019/02/abigail.png,https://summonerswarskyarena.info/wp-content/uploads/2019/02/water-cannon-girl.png,https://summonerswarskyarena.info/monster/abigail-water-cannon-girl-review/,15 12 15 10,9,https://summonerswarskyarena.info/monster-list/
8,4,Support,Sylphid,Wind,Acasis,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Acasis_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Sylphid_Wind_Icon.png,https://summonerswarskyarena.info/monster/acasis-wind-sylphid-review/,10 20 5 15,10,https://summonerswarskyarena.info/monster-list/
9,5,Defense,Beetle Guardian,Dark,Actaeon,https://summonerswarskyarena.info/wp-content/uploads/2025/04/unit_icon_0177_0_5_actaeon2.png,https://summonerswarskyarena.info/wp-content/uploads/2025/04/unit_icon_0177_0_5_actaeon.png,https://summonerswarskyarena.info/monster/actaeon-dark-beetle-guardian-review/,5 15 10 20,11,https://summonerswarskyarena.info/monster-list/
10,3,Support,Elven Ranger,Fire,Adrian,https://summonerswarskyarena.info/wp-content/uploads/2015/11/Adrian-Fire.png,https://summonerswarskyarena.info/wp-content/uploads/2015/11/Elven-Ranger-Fire.png,https://summonerswarskyarena.info/monster/adrian-fire-elven-ranger-review/,17 7 12 5,13,https://summonerswarskyarena.info/monster-list/
11,5,Support,Pudding Princess,Water,Adriana,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0099_1_1.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0099_0_1.png,https://summonerswarskyarena.info/monster/adriana-water-pudding-princess-review/,5 15 10 20,11,https://summonerswarskyarena.info/monster-list/
12,4,Attack,Barbaric King,Water,Aegir,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Aegir-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Barbaric-King-Water.png,https://summonerswarskyarena.info/monster/aegir-water-barbaric-king-review/,10 20 5 15,13,https://summonerswarskyarena.info/monster-list/
13,2,Support,Fairy,Wind,Aeilene,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Aeilene_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Fairy_Wind_Icon.png,https://summonerswarskyarena.info/monster/aeilene-wind-fairy-review/,5 10 10 15,15,https://summonerswarskyarena.info/monster-list/
